order_id,order_date,customer_id,customer_segment,sales_channel,region,product_id,category,product_name,unit_price,quantity,discount_pct,revenue,inventory_on_hand,reorder_level,inventory_status,month,first_purchase_date,customer_tenure_days,is_repeat_customer,avg_unit_revenue
O50009,2025-10-10,C10298,Repeat,Web,Midwest,P1010,Dresses,Shift Dress,142.0,1,0.1,127.8,75.0,75,Low Stock Risk,2025-10,2025-06-30,102,True,127.8
O50010,2025-08-09,C10075,Repeat,Email Campaign,Midwest,P1012,Loungewear,Soft Set,78.0,1,0.1,70.2,392.0,81,Healthy,2025-08,2025-01-13,208,True,70.2
O50011,2025-01-22,C10065,New,Mobile App,West,P1012,Loungewear,Soft Set,84.24,4,0.2,269.57,388.0,81,Healthy,2025-01,2025-01-22,0,False,67.39
O50012,2025-07-06,C10157,Repeat,Organic Search,Northeast,P1004,Bottoms,Easy Trouser,116.0,2,0.0,232.0,199.0,79,Healthy,2025-07,2025-03-23,105,True,116.0
O50013,2025-01-21,C10407,New,Email Campaign,Northeast,P1013,Loungewear,Relaxed Jogger,91.8,2,0.1,165.24,445.0,79,Healthy,2025-01,2025-01-21,0,False,82.62
O50014,2025-04-18,C10183,Repeat,Web,South,P1013,Loungewear,Relaxed Jogger,85.0,1,0.0,85.0,444.0,79,Healthy,2025-04,2025-02-01,76,True,85.0
O50014,2025-04-18,C10183,Repeat,Web,South,P1009,Dresses,Wrap Dress,179.2,2,0.0,358.4,266.0,40,Healthy,2025-04,2025-02-01,76,True,179.2
O50014,2025-04-18,C10183,Repeat,Web,South,P1011,Dresses,Travel Dress,157.92,3,0.2,379.01,224.0,77,Healthy,2025-04,2025-02-01,76,True,126.34
O50015,2025-05-08,C10349,VIP,Mobile App,Northeast,P1008,Outerwear,Transit Coat,218.0,1,0.15,185.3,413.0,47,Healthy,2025-05,2025-05-04,4,True,185.3
O50015,2025-05-08,C10349,VIP,Mobile App,Northeast,P1005,Bottoms,Weekend Skirt,109.0,3,0.0,327.0,287.0,41,Healthy,2025-05,2025-05-04,4,True,109.0
O50015,2025-05-08,C10349,VIP,Mobile App,Northeast,P1001,Tops,Air Tunic,62.0,1,0.1,55.8,158.0,72,Healthy,2025-05,2025-05-04,4,True,55.8
O50016,2025-02-22,C10341,New,Web,South,P1012,Loungewear,Soft Set,84.24,1,0.05,80.03,387.0,81,Healthy,2025-02,2025-02-22,0,False,80.03
O50017,2025-10-14,C10181,VIP,Email Campaign,West,P1004,Bottoms,Easy Trouser,116.0,1,0.1,104.4,198.0,79,Healthy,2025-10,2025-10-14,0,False,104.4
O50017,2025-10-14,C10181,VIP,Email Campaign,West,P1003,Bottoms,Tailored Pant,89.0,1,0.1,80.1,395.0,61,Healthy,2025-10,2025-10-14,0,False,80.1
O50018,2025-11-14,C10208,Repeat,Mobile App,West,P1000,Tops,Classic Tee,78.0,1,0.0,78.0,242.0,49,Healthy,2025-11,2025-02-17,270,True,78.0
O50019,2025-03-21,C10383,New,Paid Social,South,P1007,Outerwear,Layer Jacket,196.0,2,0.05,372.4,311.0,40,Healthy,2025-03,2025-03-21,0,False,186.2
O50020,2025-03-25,C10121,New,Mobile App,West,P1014,Loungewear,Cozy Hoodie,117.0,1,0.05,111.15,144.0,49,Healthy,2025-03,2025-03-25,0,False,111.15
O50021,2025-04-01,C10409,New,Mobile App,South,P1006,Outerwear,Commuter Blazer,150.0,1,0.05,142.5,427.0,51,Healthy,2025-04,2025-04-01,0,False,142.5
O50022,2025-01-13,C10211,Repeat,Mobile App,South,P1005,Bottoms,Weekend Skirt,109.0,1,0.0,109.0,286.0,41,Healthy,2025-01,2025-01-13,0,False,109.0
O50022,2025-01-13,C10211,Repeat,Mobile App,South,P1006,Outerwear,Commuter Blazer,150.0,1,0.1,135.0,426.0,51,Healthy,2025-01,2025-01-13,0,False,135.0
O50023,2025-06-20,C10091,Repeat,Web,West,P1007,Outerwear,Layer Jacket,196.0,4,0.05,744.8,307.0,40,Healthy,2025-06,2025-06-20,0,False,186.2
O50024,2025-07-30,C10400,Repeat,Mobile App,Midwest,P1010,Dresses,Shift Dress,159.04,3,0.05,453.26,348.0,75,Healthy,2025-07,2025-01-22,189,True,151.09
O50024,2025-07-30,C10400,Repeat,Mobile App,Midwest,P1013,Loungewear,Relaxed Jogger,85.0,2,0.0,170.0,442.0,79,Healthy,2025-07,2025-01-22,189,True,85.0
O50025,2025-12-09,C10410,VIP,Mobile App,Northeast,P1001,Tops,Air Tunic,62.0,2,0.1,111.6,156.0,72,Healthy,2025-12,2025-08-26,105,True,55.8
O50025,2025-12-09,C10410,VIP,Mobile App,Northeast,P1007,Outerwear,Layer Jacket,227.36,2,0.0,454.72,305.0,40,Healthy,2025-12,2025-08-26,105,True,227.36
O50025,2025-12-09,C10410,VIP,Mobile App,Northeast,P1012,Loungewear,Soft Set,84.24,1,0.0,84.24,386.0,81,Healthy,2025-12,2025-08-26,105,True,84.24
O50026,2025-05-08,C10376,Repeat,Mobile App,West,P1002,Tops,Everyday Shirt,71.0,2,0.0,142.0,236.0,67,Healthy,2025-05,2025-05-08,0,False,71.0
O50027,2025-03-23,C10136,New,Organic Search,South,P1011,Dresses,Travel Dress,141.0,1,0.15,119.85,223.0,77,Healthy,2025-03,2025-01-02,80,True,119.85
O50028,2025-12-26,C10403,Repeat,Mobile App,Northeast,P1001,Tops,Air Tunic,62.0,3,0.0,186.0,153.0,72,Healthy,2025-12,2025-02-11,318,True,62.0
O50029,2025-07-15,C10055,VIP,Web,West,P1011,Dresses,Travel Dress,157.92,2,0.05,300.05,221.0,77,Healthy,2025-07,2025-06-29,16,True,150.02
O50030,2025-08-29,C10019,Repeat,Email Campaign,West,P1000,Tops,Classic Tee,78.0,2,0.2,124.8,240.0,49,Healthy,2025-08,2025-01-05,236,True,62.4
O50031,2025-04-13,C10113,VIP,Email Campaign,Midwest,P1010,Dresses,Shift Dress,159.04,1,0.1,143.14,347.0,75,Healthy,2025-04,2025-04-13,0,False,143.14
O50032,2025-08-24,C10418,VIP,Mobile App,West,P1003,Bottoms,Tailored Pant,89.0,2,0.05,169.1,393.0,61,Healthy,2025-08,2025-04-13,133,True,84.55
O50033,2025-06-06,C10179,New,Organic Search,Midwest,P1005,Bottoms,Weekend Skirt,109.0,2,0.0,218.0,284.0,41,Healthy,2025-06,2025-06-06,0,False,109.0
O50033,2025-06-06,C10179,New,Organic Search,Midwest,P1007,Outerwear,Layer Jacket,196.0,1,0.0,196.0,304.0,40,Healthy,2025-06,2025-06-06,0,False,196.0
O50034,2025-04-27,C10407,Repeat,Mobile App,Unknown,P1002,Tops,Everyday Shirt,71.0,1,0.0,71.0,235.0,67,Healthy,2025-04,2025-01-21,96,True,71.0
O50035,2025-01-13,C10114,New,Web,Unknown,P1004,Bottoms,Easy Trouser,116.0,2,0.05,220.4,196.0,79,Healthy,2025-01,2025-01-13,0,False,110.2
O50036,2025-04-09,C10337,VIP,Paid Social,Northeast,P1012,Loungewear,Soft Set,78.0,3,0.0,222.3,383.0,81,Healthy,2025-04,2025-02-13,55,True,74.1
O50037,2025-06-18,C10204,VIP,Email Campaign,South,P1002,Tops,Everyday Shirt,71.0,1,0.1,63.9,234.0,67,Healthy,2025-06,2025-03-08,102,True,63.9
O50037,2025-06-18,C10204,VIP,Email Campaign,South,P1006,Outerwear,Commuter Blazer,150.0,2,0.1,270.0,424.0,51,Healthy,2025-06,2025-03-08,102,True,135.0
O50038,2025-02-05,C10142,Repeat,Organic Search,Northeast,P1009,Dresses,Wrap Dress,160.0,1,0.0,160.0,265.0,40,Healthy,2025-02,2025-02-05,0,False,160.0
O50039,2025-05-23,C10395,New,Organic Search,West,P1013,Loungewear,Relaxed Jogger,85.0,1,0.0,85.0,441.0,79,Healthy,2025-05,2025-03-16,68,True,85.0
O50040,2025-11-25,C10179,VIP,Email Campaign,Midwest,P1011,Dresses,Travel Dress,141.0,3,0.1,380.7,218.0,77,Healthy,2025-11,2025-06-06,172,True,126.9
O50040,2025-11-25,C10179,VIP,Email Campaign,Midwest,P1004,Bottoms,Easy Trouser,116.0,1,0.2,92.8,195.0,79,Healthy,2025-11,2025-06-06,172,True,92.8
O50041,2025-07-24,C10260,Repeat,Web,South,P1000,Tops,Classic Tee,78.0,1,0.2,62.4,239.0,49,Healthy,2025-07,2025-04-25,90,True,62.4
O50042,2025-10-02,C10347,VIP,Paid Social,South,P1000,Tops,Classic Tee,78.0,1,0.0,78.0,238.0,49,Healthy,2025-10,2025-07-17,77,True,78.0
O50043,2025-01-15,C10169,New,Email Campaign,South,P1011,Dresses,Travel Dress,141.0,2,0.0,253.8,216.0,77,Healthy,2025-01,2025-01-15,0,False,126.9
O50044,2025-05-14,C10059,Repeat,Web,South,P1005,Bottoms,Weekend Skirt,109.0,2,0.05,207.1,282.0,41,Healthy,2025-05,2025-05-14,0,False,103.55
O50045,2025-10-25,C10091,VIP,Web,West,P1006,Outerwear,Commuter Blazer,174.0,1,0.05,165.3,423.0,51,Healthy,2025-10,2025-06-20,127,True,165.3
O50046,2025-01-20,C10135,New,Paid Social,Midwest,P1014,Loungewear,Cozy Hoodie,126.36,2,0.0,252.72,142.0,49,Healthy,2025-01,2025-01-20,0,False,126.36
O50047,2025-11-02,C10055,VIP,Mobile App,West,P1009,Dresses,Wrap Dress,160.0,2,0.0,320.0,263.0,40,Healthy,2025-11,2025-06-29,126,True,160.0
O50048,2025-06-26,C10222,Repeat,Mobile App,South,P1011,Dresses,Travel Dress,157.92,2,0.2,252.67,214.0,77,Healthy,2025-06,2025-02-20,126,True,126.34
O50049,2025-06-10,C10373,Repeat,Web,South,P1005,Bottoms,Weekend Skirt,109.0,1,0.05,103.55,281.0,41,Healthy,2025-06,2025-02-18,112,True,103.55
O50050,2025-11-07,C10223,VIP,Mobile App,Northeast,P1002,Tops,Everyday Shirt,71.0,3,0.15,181.05,231.0,67,Healthy,2025-11,2025-01-01,310,True,60.35
O50051,2025-03-01,C10261,New,Email Campaign,South,P1010,Dresses,Shift Dress,142.0,1,0.15,120.7,346.0,75,Healthy,2025-03,2025-03-01,0,False,120.7
O50052,2025-10-23,C10197,Repeat,Web,South,P1012,Loungewear,Soft Set,78.0,1,0.05,74.1,382.0,81,Healthy,2025-10,2025-02-11,254,True,74.1
O50053,2025-05-11,C10097,VIP,Mobile App,Midwest,P1001,Tops,Air Tunic,62.0,1,0.05,58.9,152.0,72,Healthy,2025-05,2025-02-13,87,True,58.9
O50053,2025-05-11,C10097,VIP,Mobile App,Midwest,P1005,Bottoms,Weekend Skirt,109.0,1,0.1,98.1,280.0,41,Healthy,2025-05,2025-02-13,87,True,98.1
O50054,2025-12-29,C10022,Repeat,Mobile App,South,P1011,Dresses,Travel Dress,141.0,2,0.0,225.6,212.0,77,Healthy,2025-12,2025-06-12,200,True,112.8
O50055,2025-01-01,C10223,Repeat,Organic Search,South,P1003,Bottoms,Tailored Pant,89.0,1,0.0,89.0,61.0,61,Low Stock Risk,2025-01,2025-01-01,0,False,89.0
O50056,2025-10-03,C10266,VIP,Organic Search,West,P1010,Dresses,Shift Dress,142.0,2,0.05,269.8,344.0,75,Healthy,2025-10,2025-06-04,121,True,134.9
O50057,2025-12-10,C10351,VIP,Paid Social,South,P1010,Dresses,Shift Dress,142.0,4,0.1,511.2,340.0,75,Healthy,2025-12,2025-04-30,224,True,127.8
O50058,2025-07-06,C10100,Repeat,Mobile App,West,P1005,Bottoms,Weekend Skirt,109.0,3,0.1,294.3,277.0,41,Healthy,2025-07,2025-07-06,0,False,98.1
O50059,2025-02-05,C10220,New,Paid Social,Midwest,P1006,Outerwear,Commuter Blazer,150.0,3,0.15,382.5,420.0,51,Healthy,2025-02,2025-02-05,0,False,127.5
O50059,2025-02-05,C10220,New,Paid Social,Midwest,P1002,Tops,Everyday Shirt,71.0,2,0.0,134.9,229.0,67,Healthy,2025-02,2025-02-05,0,False,67.45
O50060,2025-06-19,C10340,New,Web,West,P1007,Outerwear,Layer Jacket,196.0,1,0.0,196.0,303.0,40,Healthy,2025-06,2025-06-19,0,False,196.0
O50061,2025-06-10,C10319,New,Web,Midwest,P1009,Dresses,Wrap Dress,179.2,1,0.05,170.24,262.0,40,Healthy,2025-06,2025-06-10,0,False,170.24
O50062,2025-03-05,C10339,New,Paid Social,Northeast,P1003,Bottoms,Tailored Pant,89.0,1,0.0,89.0,391.0,61,Healthy,2025-03,2025-01-14,50,True,89.0
O50063,2025-06-03,C10368,Repeat,Paid Social,West,P1005,Bottoms,Weekend Skirt,109.0,1,0.05,103.55,276.0,41,Healthy,2025-06,2025-05-02,32,True,103.55
O50063,2025-06-03,C10368,Repeat,Paid Social,West,P1009,Dresses,Wrap Dress,179.2,1,0.2,143.36,261.0,40,Healthy,2025-06,2025-05-02,32,True,143.36
O50064,2025-06-08,C10259,VIP,Web,West,P1008,Outerwear,Transit Coat,218.0,1,0.15,185.3,412.0,47,Healthy,2025-06,2025-04-19,50,True,185.3
O50064,2025-06-08,C10259,VIP,Web,West,P1007,Outerwear,Layer Jacket,196.0,2,0.0,392.0,301.0,40,Healthy,2025-06,2025-04-19,50,True,196.0
O50064,2025-06-08,C10259,VIP,Web,West,P1003,Bottoms,Tailored Pant,89.0,2,0.0,178.0,389.0,61,Healthy,2025-06,2025-04-19,50,True,89.0
O50065,2025-07-29,C10341,Repeat,Web,Northeast,P1005,Bottoms,Weekend Skirt,109.0,2,0.15,185.3,274.0,41,Healthy,2025-07,2025-02-22,157,True,92.65
O50066,2025-07-26,C10167,Repeat,Web,Northeast,P1014,Loungewear,Cozy Hoodie,117.0,2,0.15,198.9,140.0,49,Healthy,2025-07,2025-02-14,162,True,99.45
O50066,2025-07-26,C10167,Repeat,Web,Unknown,P1008,Outerwear,Transit Coat,218.0,4,0.1,784.8,408.0,47,Healthy,2025-07,2025-02-14,162,True,196.2
O50067,2025-06-01,C10356,Repeat,Mobile App,West,P1009,Dresses,Wrap Dress,179.2,2,0.0,358.4,259.0,40,Healthy,2025-06,2025-01-11,141,True,179.2
O50068,2025-03-07,C10283,VIP,Paid Social,Northeast,P1004,Bottoms,Easy Trouser,116.0,2,0.05,220.4,193.0,79,Healthy,2025-03,2025-01-11,55,True,110.2
O50069,2025-08-04,C10098,Repeat,Web,South,P1010,Dresses,Shift Dress,142.0,1,0.05,134.9,339.0,75,Healthy,2025-08,2025-04-26,100,True,134.9
O50070,2025-07-14,C10340,Repeat,Organic Search,West,P1013,Loungewear,Relaxed Jogger,85.0,1,0.15,72.25,440.0,79,Healthy,2025-07,2025-06-19,25,True,72.25
O50071,2025-03-31,C10346,New,Web,West,P1008,Outerwear,Transit Coat,218.0,3,0.05,621.3,405.0,47,Healthy,2025-03,2025-03-31,0,False,207.1
O50071,2025-03-31,C10346,New,Web,West,P1002,Tops,Everyday Shirt,71.0,1,0.05,67.45,228.0,67,Healthy,2025-03,2025-03-31,0,False,67.45
O50072,2025-10-19,C10315,VIP,Web,Midwest,P1001,Tops,Air Tunic,62.0,3,0.0,186.0,149.0,72,Healthy,2025-10,2025-01-03,289,True,62.0
O50073,2025-07-27,C10154,New,Web,West,P1005,Bottoms,Weekend Skirt,109.0,1,0.0,109.0,273.0,41,Healthy,2025-07,2025-01-08,200,True,109.0
O50073,2025-07-27,C10154,New,Web,West,P1013,Loungewear,Relaxed Jogger,85.0,1,0.0,85.0,439.0,79,Healthy,2025-07,2025-01-08,200,True,85.0
O50073,2025-07-27,C10154,New,Web,West,P1000,Tops,Classic Tee,78.0,1,0.0,78.0,237.0,49,Healthy,2025-07,2025-01-08,200,True,78.0
O50074,2025-01-01,C10280,New,Web,West,P1000,Tops,Classic Tee,78.0,1,0.1,70.2,236.0,49,Healthy,2025-01,2025-01-01,0,False,70.2
O50075,2025-05-27,C10155,Repeat,Email Campaign,South,P1005,Bottoms,Weekend Skirt,109.0,1,0.15,92.65,272.0,41,Healthy,2025-05,2025-02-13,103,True,92.65
O50075,2025-05-27,C10155,Repeat,Email Campaign,South,P1006,Outerwear,Commuter Blazer,150.0,1,0.2,120.0,419.0,51,Healthy,2025-05,2025-02-13,103,True,120.0
O50076,2025-08-09,C10107,Repeat,Mobile App,Northeast,P1011,Dresses,Travel Dress,141.0,1,0.05,133.95,211.0,77,Healthy,2025-08,2025-08-09,0,False,133.95
O50076,2025-08-09,C10107,Repeat,Mobile App,Unknown,P1008,Outerwear,Transit Coat,218.0,1,0.0,218.0,404.0,47,Healthy,2025-08,2025-08-09,0,False,218.0
O50077,2025-10-24,C10402,New,Mobile App,West,P1013,Loungewear,Relaxed Jogger,85.0,2,0.15,144.5,437.0,79,Healthy,2025-10,2025-09-17,37,True,72.25
O50078,2025-12-02,C10310,VIP,Email Campaign,Northeast,P1004,Bottoms,Easy Trouser,116.0,1,0.15,98.6,192.0,79,Healthy,2025-12,2025-02-28,277,True,98.6
O50079,2025-08-27,C10164,Repeat,Paid Social,South,P1006,Outerwear,Commuter Blazer,150.0,1,0.0,150.0,418.0,51,Healthy,2025-08,2025-02-22,186,True,150.0
O50080,2025-08-15,C10226,Repeat,Web,South,P1003,Bottoms,Tailored Pant,89.0,1,0.2,71.2,388.0,61,Healthy,2025-08,2025-03-01,167,True,71.2
O50081,2025-04-20,C10345,New,Email Campaign,West,P1012,Loungewear,Soft Set,78.0,2,0.15,132.6,380.0,81,Healthy,2025-04,2025-04-20,0,False,66.3
O50082,2025-08-31,C10261,Repeat,Organic Search,Midwest,P1010,Dresses,Shift Dress,142.0,1,0.2,113.6,338.0,75,Healthy,2025-08,2025-03-01,183,True,113.6
O50082,2025-08-31,C10261,Repeat,Organic Search,Midwest,P1013,Loungewear,Relaxed Jogger,85.0,1,0.0,85.0,436.0,79,Healthy,2025-08,2025-03-01,183,True,85.0
O50083,2025-03-28,C10406,New,Email Campaign,South,P1011,Dresses,Travel Dress,141.0,1,0.1,126.9,210.0,77,Healthy,2025-03,2025-03-28,0,False,126.9
O50084,2025-02-13,C10337,Repeat,Paid Social,West,P1005,Bottoms,Weekend Skirt,109.0,2,0.05,207.1,270.0,41,Healthy,2025-02,2025-02-13,0,False,103.55
O50085,2025-09-21,C10145,VIP,Email Campaign,West,P1008,Outerwear,Transit Coat,252.88,1,0.1,227.59,403.0,47,Healthy,2025-09,2025-02-10,223,True,227.59
O50086,2025-11-21,C10339,Repeat,Web,South,P1004,Bottoms,Easy Trouser,116.0,1,0.05,110.2,191.0,79,Healthy,2025-11,2025-01-14,311,True,110.2
O50087,2025-06-21,C10317,Repeat,Mobile App,South,P1012,Loungewear,Soft Set,78.0,1,0.0,78.0,379.0,81,Healthy,2025-06,2025-01-31,141,True,78.0
O50088,2025-05-01,C10047,Repeat,Web,Midwest,P1002,Tops,Everyday Shirt,71.0,2,0.0,142.0,226.0,67,Healthy,2025-05,2025-05-01,0,False,71.0
O50088,2025-05-01,C10047,Repeat,Web,Midwest,P1012,Loungewear,Soft Set,78.0,1,0.0,78.0,378.0,81,Healthy,2025-05,2025-05-01,0,False,78.0
O50089,2025-06-08,C10344,Repeat,Email Campaign,Midwest,P1006,Outerwear,Commuter Blazer,150.0,1,0.1,135.0,417.0,51,Healthy,2025-06,2025-02-26,102,True,135.0
O50090,2025-04-12,C10115,Repeat,Paid Social,Northeast,P1013,Loungewear,Relaxed Jogger,85.0,1,0.1,76.5,435.0,79,Healthy,2025-04,2025-02-28,43,True,76.5
O50091,2025-01-13,C10075,Repeat,Paid Social,Northeast,P1011,Dresses,Travel Dress,141.0,4,0.0,564.0,206.0,77,Healthy,2025-01,2025-01-13,0,False,141.0
O50091,2025-01-13,C10075,Repeat,Paid Social,Northeast,P1012,Loungewear,Soft Set,84.24,3,0.1,227.45,81.0,81,Low Stock Risk,2025-01,2025-01-13,0,False,75.82
O50092,2025-05-06,C10023,Repeat,Paid Social,West,P1014,Loungewear,Cozy Hoodie,117.0,1,0.05,111.15,139.0,49,Healthy,2025-05,2025-01-20,106,True,111.15
O50093,2025-11-09,C10243,Repeat,Email Campaign,Midwest,P1013,Loungewear,Relaxed Jogger,85.0,2,0.1,153.0,433.0,79,Healthy,2025-11,2025-08-18,83,True,76.5
O50094,2025-02-07,C10393,New,Organic Search,Midwest,P1000,Tops,Classic Tee,78.0,2,0.1,140.4,234.0,49,Healthy,2025-02,2025-02-07,0,False,70.2
O50095,2025-08-01,C10233,Repeat,Paid Social,South,P1006,Outerwear,Commuter Blazer,150.0,2,0.05,285.0,415.0,51,Healthy,2025-08,2025-03-10,144,True,142.5
O50095,2025-08-01,C10233,Repeat,Paid Social,South,P1000,Tops,Classic Tee,78.0,2,0.15,132.6,232.0,49,Healthy,2025-08,2025-03-10,144,True,66.3
O50096,2025-10-22,C10322,Repeat,Email Campaign,Northeast,P1005,Bottoms,Weekend Skirt,109.0,1,0.1,98.1,269.0,41,Healthy,2025-10,2025-01-14,281,True,98.1
O50096,2025-10-22,C10322,Repeat,Email Campaign,Northeast,P1013,Loungewear,Relaxed Jogger,85.0,4,0.15,289.0,429.0,79,Healthy,2025-10,2025-01-14,281,True,72.25
O50097,2025-12-23,C10099,Repeat,Web,Midwest,P1003,Bottoms,Tailored Pant,89.0,2,0.05,169.1,386.0,61,Healthy,2025-12,2025-06-28,178,True,84.55
O50097,2025-12-23,C10099,Repeat,Web,Midwest,P1002,Tops,Everyday Shirt,71.0,1,0.0,71.0,225.0,67,Healthy,2025-12,2025-06-28,178,True,71.0
O50097,2025-12-23,C10099,Repeat,Web,Midwest,P1010,Dresses,Shift Dress,142.0,2,0.15,241.4,336.0,75,Healthy,2025-12,2025-06-28,178,True,120.7
O50098,2025-09-11,C10196,VIP,Paid Social,West,P1005,Bottoms,Weekend Skirt,109.0,1,0.05,103.55,268.0,41,Healthy,2025-09,2025-04-08,156,True,103.55
O50099,2025-05-05,C10204,Repeat,Email Campaign,Northeast,P1007,Outerwear,Layer Jacket,196.0,1,0.15,166.6,300.0,40,Healthy,2025-05,2025-03-08,58,True,166.6
O50100,2025-12-02,C10075,Repeat,Web,Northeast,P1011,Dresses,Travel Dress,141.0,2,0.0,282.0,204.0,77,Healthy,2025-12,2025-01-13,323,True,141.0
O50101,2025-01-03,C10352,New,Organic Search,Midwest,P1007,Outerwear,Layer Jacket,196.0,1,0.0,196.0,299.0,40,Healthy,2025-01,2025-01-03,0,False,196.0
O50102,2025-02-24,C10384,Repeat,Organic Search,Northeast,P1012,Loungewear,Soft Set,84.24,1,0.1,75.82,374.0,81,Healthy,2025-02,2025-02-24,0,False,75.82
O50102,2025-02-24,C10384,Repeat,Organic Search,Northeast,P1001,Tops,Air Tunic,62.0,2,0.0,124.0,147.0,72,Healthy,2025-02,2025-02-24,0,False,62.0
O50103,2025-08-06,C10398,New,Web,South,P1008,Outerwear,Transit Coat,218.0,1,0.0,218.0,402.0,47,Healthy,2025-08,2025-01-26,192,True,218.0
O50103,2025-08-06,C10398,New,Web,South,P1002,Tops,Everyday Shirt,71.0,1,0.1,63.9,224.0,67,Healthy,2025-08,2025-01-26,192,True,63.9
O50104,2025-04-01,C10112,New,Organic Search,West,P1008,Outerwear,Transit Coat,218.0,1,0.1,196.2,401.0,47,Healthy,2025-04,2025-04-01,0,False,196.2
O50105,2025-12-23,C10411,Repeat,Web,West,P1012,Loungewear,Soft Set,84.24,1,0.05,80.03,373.0,81,Healthy,2025-12,2025-02-28,298,True,80.03
O50106,2025-08-26,C10265,Repeat,Organic Search,West,P1012,Loungewear,Soft Set,78.0,2,0.0,156.0,371.0,81,Healthy,2025-08,2025-03-20,159,True,78.0
O50107,2025-10-13,C10025,Repeat,Organic Search,West,P1013,Loungewear,Relaxed Jogger,85.0,1,0.2,68.0,428.0,79,Healthy,2025-10,2025-05-14,152,True,68.0
O50108,2025-03-04,C10127,New,Email Campaign,West,P1009,Dresses,Wrap Dress,160.0,2,0.15,272.0,257.0,40,Healthy,2025-03,2025-02-28,4,True,136.0
O50109,2025-03-10,C10233,New,Mobile App,Midwest,P1003,Bottoms,Tailored Pant,89.0,1,0.1,80.1,385.0,61,Healthy,2025-03,2025-03-10,0,False,80.1
O50110,2025-08-26,C10410,Repeat,Mobile App,Northeast,P1010,Dresses,Shift Dress,142.0,2,0.0,284.0,334.0,75,Healthy,2025-08,2025-08-26,0,False,142.0
O50111,2025-09-29,C10341,Repeat,Web,South,P1013,Loungewear,Relaxed Jogger,85.0,1,0.1,76.5,427.0,79,Healthy,2025-09,2025-02-22,219,True,76.5
O50111,2025-09-29,C10341,Repeat,Web,South,P1014,Loungewear,Cozy Hoodie,117.0,1,0.0,117.0,138.0,49,Healthy,2025-09,2025-02-22,219,True,117.0
O50112,2025-11-01,C10286,VIP,Web,West,P1012,Loungewear,Soft Set,78.0,1,0.2,62.4,370.0,81,Healthy,2025-11,2025-05-21,164,True,62.4
O50113,2025-08-15,C10162,Repeat,Web,Northeast,P1008,Outerwear,Transit Coat,218.0,1,0.1,196.2,400.0,47,Healthy,2025-08,2025-08-15,0,False,196.2
O50113,2025-08-15,C10162,Repeat,Web,Northeast,P1006,Outerwear,Commuter Blazer,150.0,2,0.0,300.0,413.0,51,Healthy,2025-08,2025-08-15,0,False,150.0
O50114,2025-09-16,C10313,Repeat,Web,Midwest,P1003,Bottoms,Tailored Pant,89.0,2,0.05,169.1,383.0,61,Healthy,2025-09,2025-09-16,0,False,84.55
